docket,violation_address,city,state,cleaned_address,corrected
21DT000366,2150 W CONCORD PL,Chicago,Illinois,2150 W CONCORD PL,
22DS03968M,4601 S ROCKWELL ST,Chicago,Illinois,4601 S ROCKWELL ST,
20DS76052L,1757 W 18TH ST,Chicago,Illinois,1757 W 18TH ST,
22DS03433M,1757 W 18TH ST,Chicago,Illinois,1757 W 18TH ST,
21DT000585,500 N STATE ST,Chicago,Illinois,500 N STATE ST,
21DT001025,506 N STATE ST,Chicago,Illinois,506 N STATE ST,
21DT001177,3114 W CARROLL,Chicago,Illinois,3114 W CARROLL,
22DT001279,6252 N PULASKI RD,Chicago,Illinois,6252 N PULASKI RD,
21DT001126,5820 N MILWAUKEE,Chicago,Illinois,5820 N MILWAUKEE,
22DT001214,6440 W FULLERTON,Chicago,Illinois,6440 W FULLERTON,
22DT001320,1301 W BELMONT,Chicago,Illinois,1301 W BELMONT,
21DT000556,4800 S CHAMPLAIN,Chicago,Illinois,4800 S CHAMPLAIN,
22DS04527M,346 E 75TH ST,Chicago,Illinois,346 E 75TH ST,
21DT000747,935 W MARQUETTE RD,Chicago,Illinois,935 W MARQUETTE RD,
21DT001040,315 W LOCUST ST,Chicago,Illinois,315 W LOCUST ST,
21DT000700,1438 N MILWAUKEE,Chicago,Illinois,1438 N MILWAUKEE,
23DS13127M,6555 N ASHLAND AVE,Chicago,Illinois,6555 N ASHLAND AVE,
22DT000849,5614 W GRAND,Chicago,Illinois,5614 W GRAND AVE,True
23DT000563,4500 N SPAULDING,Chicago,Illinois,4500 N SPAULDING,
20DS76000L,4959 S DAMEN AVE,Chicago,Illinois,4959 S DAMEN AVE,
21DS20686M,4420 S ASHLAND AVE,Chicago,Illinois,4420 S ASHLAND AVE,
21DS20690M,4412 S ASHLAND AVE,Chicago,Illinois,4412 S ASHLAND AVE,
21DS20691M,4412 S ASHLAND AVE,Chicago,Illinois,4412 S ASHLAND AVE,
21DS20692M,4416 S ASHLAND AVE,Chicago,Illinois,4416 S ASHLAND AVE,
22DS02244M,7101 S MICHIGAN AVE,Chicago,Illinois,7101 S MICHIGAN AVE,
23DS10124M,6208 S MAY ST,Chicago,Illinois,6208 S MAY ST,
21DS20693M,4426 S ASHLAND AVE,Chicago,Illinois,4426 S ASHLAND AVE,
21DT000588,445 N LASALLE DR,Chicago,Illinois,445 N LASALLE DR,
21DT000589,226 W ONTARIO ST,Chicago,Illinois,226 W ONTARIO ST,
21DS19329M,7101 S MICHIGAN AVE,Chicago,Illinois,7101 S MICHIGAN AVE,
21DT000702,2 S CICERO,Chicago,Illinois,2 S CICERO,
21DT001093,920 N ELIZABETH ST,Chicago,Illinois,920 N ELIZABETH ST,
